block_idx,block_name,n_anchors,microprice__joint,microprice__prem_byb,microprice__prem_okx,microprice__prem_bin,microprice__gap_okx-byb,microprice__gap_bin-byb,ofi_normalised__joint,ofi_normalised__byb,ofi_normalised__okx,ofi_normalised__bin,ofi__joint,ofi__byb,ofi__bin,ofi__okx,price_momentum__joint,price_momentum__byb,price_momentum__okx,price_momentum__bin,flow_persistence__joint,flow_persistence__bin,flow_persistence__byb,flow_persistence__okx,xv_book_pressure__joint,xv_book_pressure__gap_okx-byb_QI,xv_book_pressure__gap_okx-byb_prem,xv_book_pressure__gap_bin-byb_QI,xv_book_pressure__gap_bin-byb_prem,trade_rate_surge__joint,trade_rate_surge__byb,trade_rate_surge__okx,trade_rate_surge__bin,mid_rate_surge__joint,mid_rate_surge__byb,mid_rate_surge__okx,mid_rate_surge__bin,trade_rate_normalised__joint,trade_rate_normalised__byb,trade_rate_normalised__okx,trade_rate_normalised__bin,volume_normalised__joint,volume_normalised__byb,volume_normalised__okx,volume_normalised__bin,vol_over_rate__joint,vol_over_rate__byb,vol_over_rate__okx,vol_over_rate__bin,volume_surge__joint,volume_surge__byb,volume_surge__bin,volume_surge__okx,gap_dynamics__joint,gap_dynamics__okx,gap_dynamics__bin,range_breakout__joint,range_breakout__byb,range_breakout__bin,range_breakout__okx,flow_imbalance__joint,flow_imbalance__bin,flow_imbalance__byb,flow_imbalance__okx
10,holocron.20260526T092411.0,394501,0.3764373942251527,0.36182913484810986,0.2991118013092314,0.33698910009160704,0.0734122831515057,-0.007890170432463088,0.42901704890394216,0.3213716534719668,0.34014636326098874,0.36216959392136955,0.41770765761193884,0.3122427481260316,0.3393723583828869,0.3200332409040268,0.32043318564700923,0.17970412696780438,0.2314741897164484,0.2864183700855626,0.27728703899964313,0.24956659622980754,0.19028020768449483,0.19148362171194183,0.04052396938856309,0.07072188311297783,0.0734122831515057,0.046152572382713794,-0.007890170432463088,0.15249328501320827,0.0735774853790454,0.08677741923694199,0.14080548682631214,0.21366689265458014,0.07249587971712837,0.11389751075202845,0.15472761109830294,0.17171170781323022,0.07720320013592838,0.07772833931639841,0.12906317778848764,0.006323060776968592,0.0013012542221176732,0.00293221031558466,0.004679823177119458,-0.00416474077771567,-0.013246645314267835,-0.0008648307670103272,0.0072669690456256125,0.008345515270019727,-0.00044339233482094953,0.0160368242563238,-0.00695149031973008,0.18827163488798251,0.12783543230212235,0.18253686801223193,0.2785609385677285,0.16174517501665164,0.27669754326632034,0.22404143942211302,0.2498127216212696,0.191409787643408,0.16779097083180272,0.1482210537031396
11,holocron.20260526T155045.0,108038,0.3576515274013337,0.3398734467017373,0.3010420265021752,0.3174058694332679,0.08128498417516519,0.050163867620526915,0.38087706506315305,0.2752412745873036,0.3123762255876789,0.3300017000368394,0.36314375205836147,0.26774117283557236,0.30124609629300697,0.2941691483519832,0.29975445191675687,0.17692545682864638,0.2120537047229361,0.2667827078837569,0.27504370703081765,0.24798238425905564,0.19263620868964385,0.1933853066146077,0.05049042680831042,0.07633048936395959,0.08128498417516519,0.016349516635732093,0.050163867620526915,0.1662973039043325,0.08880103132501992,0.09882935702369904,0.16458419417583997,0.21922941784152644,0.08700045746674297,0.11819490594482902,0.16439312398355171,0.19193639337926222,0.08719831245005473,0.09668335653837969,0.15574078025601718,-0.008520258646636802,-0.007258668682102648,-0.0010470833767529247,-0.00020268996979701248,-0.019697154991804855,-0.02369374723871319,-0.002952790607037889,0.00443852444370961,0.017172194664188692,-0.00042553788802664194,0.01532225691584399,0.003718893371345608,0.1740389752903071,0.12062815941900681,0.16846385127638439,0.2680181710586598,0.16636876108815862,0.27215494257981293,0.21758106333851415,0.2466612196784936,0.18528792244684622,0.1722040556581038,0.15540260566151384
12,holocron.20260526T173015.0,1311542,0.2613361917153828,0.25409852776240394,0.2075191900790813,0.22953488653022427,0.07852171306562818,0.04837237251739461,0.28151087063609337,0.2227986022983608,0.23767258229324864,0.2545890920176036,0.2728925046472275,0.2129462906025484,0.23946763929219897,0.22736359047506624,0.1880040336165784,0.14302687075433018,0.1493473437784419,0.1859350954841667,0.1835054304134636,0.16947959446303565,0.13394726624809508,0.12645353453220506,0.0607068336270495,0.07524105762699193,0.07852171306562818,0.0369583219613815,0.04837237251739461,0.10274396891625219,0.06617417110362862,0.05925935947895851,0.10099910699929145,0.14312120732326455,0.06834776138137473,0.07928235117274231,0.123898357925552,0.12302340433466426,0.07258254035974397,0.055685807582883676,0.10678268932481168,6.538801473536526e-05,0.0005672690172917327,-0.00046866695460735797,0.00035749777125435034,-0.005811684999542113,-0.011197395883834414,-0.005002831998844506,0.00216797494264169,0.009914246360636134,-0.00012203330347580754,0.010104435262288339,0.001386978559019647,0.08928191066809377,0.05479387890611112,0.08918974244142566,0.16428007016509993,0.12894890567626507,0.18062498343156624,0.144901861147869,0.17313070878063955,0.13970109609380232,0.118285043243988,0.11075348653025263
13,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,holocron.20260527T123606.0,339545,0.3923636164990598,0.37685638784664954,0.3183489490665306,0.34567827095637615,0.10109941290915524,0.06698413115037315,0.42898226388837074,0.3230663644159425,0.3627410653443075,0.3859198441952643,0.41936561101685627,0.3133490840540693,0.36885757111814244,0.34968512556443637,0.29829662643020616,0.17992303250116867,0.21235781593283218,0.2845330675696366,0.27017096372276894,0.2546899801514031,0.18646426498059937,0.17470715672389117,0.08405294715012451,0.09586494314318415,0.10109941290915524,0.06470805197306087,0.06698413115037315,0.14107501158263958,0.07247602160170154,0.07063689793281237,0.1391308096761235,0.19218795700199964,0.07640801485761393,0.10192325041785617,0.1469038565720815,0.17655441563056667,0.0779570758126026,0.0700776038878504,0.15289674805305437,0.00203396169912122,0.00010202213633084267,0.0017091916452074002,0.0008967514438090324,-0.008420312532823937,-0.007266417237239503,-0.004028419366649119,-0.0008516431035395788,0.004699486867572197,0.00019093063331188098,0.003694140106757421,0.0011010308505022132,0.15657972701730608,0.07252870915800701,0.15668300259526835,0.25380459952472983,0.15616065621656036,0.2638684115606403,0.19762032126603313,0.251413083211974,0.20258105535845078,0.1704302376411251,0.14188932221397152
15,holocron.20260527T175622.0,649181,0.3498207299569426,0.325242250688458,0.2720880580766213,0.3084623500261018,0.08282924606317253,0.03806714570345389,0.37904861791065186,0.28557982816440947,0.3097123496285211,0.3461385578405173,0.3687870887076136,0.2788556705532128,0.32988214804520516,0.2964653327667371,0.2689080156385821,0.1589715241934846,0.1837457918867016,0.2538041468801339,0.2384843620421785,0.22538642339053164,0.15485957273226714,0.15765991233380117,0.06040040294481148,0.08190075596530393,0.08282924606317253,0.039743649776541844,0.03806714570345389,0.13772979394538445,0.07441925949925596,0.07492666704719864,0.13560314086198863,0.19752583665595816,0.08275822667236765,0.10391222465355937,0.16108645109206046,0.16102526881044335,0.06064748722041299,0.07387318859944178,0.1424621833937034,-0.00048714778311897966,0.00023206825857721713,-3.3056443619422504e-05,-0.0003770631646842909,-0.025335098239858925,-0.03246629972673047,-0.01883268695287492,-0.005112872626559184,0.009602916102831663,-0.00032946350761368925,0.011204630940677751,-0.0006587118841231837,0.15031645702005283,0.08213602627188508,0.1526583743420109,0.22360479568186994,0.13806437857719245,0.23373677349809155,0.1723513455331127,0.22862969359790086,0.18908706110365947,0.1360015517943668,0.1270750986933344
16,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,holocron.20260528T031907.0,45482,0.4772602812100853,0.45015544066143887,0.3745083106222041,0.432818786446571,0.11988118267696317,-0.026526380624636088,0.5350567175561978,0.3852628648111867,0.426889911273921,0.4604493496070238,0.5237568969498877,0.379268385096564,0.4364380153125946,0.41445851369699355,0.4146577920468117,0.19511995699590853,0.2663555827186446,0.3842653963427137,0.3489930830063111,0.3248153027891383,0.21137315632639667,0.2158204161440975,0.08997408367753842,0.11205442659298835,0.11988118267696317,0.07266921839465552,-0.026526380624636088,0.21184943894114133,0.09577328799057028,0.11063952551523329,0.20643187405107455,0.2758383439810478,0.09322770026912669,0.1371098779927522,0.2103820632686753,0.23501417730314916,0.09794768822801997,0.10266585519377969,0.19403683425767226,-0.003922684716901659,-0.00011649586783224475,0.0004168179590949006,0.0013235024867060408,-0.009132325985188733,-0.0231522974107317,-0.00808465846598802,0.003239401414388665,0.0063270786887276165,0.00017825767305307272,0.009765393251982252,-0.00036902872137262177,0.3002101741544274,0.17263433107480403,0.29736263558652337,0.3628976758981716,0.15961040826911252,0.35622992775383094,0.24799638894358983,0.3041467929631011,0.24460979581735098,0.19233647365515655,0.16833189185576908
